  KOI    <rhostar>      T0            P        r/R*     b       K    ecosw  esinw    Mp     Rp     i       a/R*      a       Tdepth   rhop loggp  Teq
          gcm3      BJD-2454900      Days                      m/s                   Me     Re    deg               AU        ppm     gcm3  cgs    K
-----------------------------------------------------------------------------------------------------------------------------------------------------
log(g)_p (cgs)       2.72         0.34         0.34        -0.30         0.53        -0.95         0.64        -1.31
Teq (K)           1056.          77.          78.         -85.         146.        -154.         191.        -192.

T0 (BJD-2454900)    66.1778       0.0025       0.0024      -0.0027       0.0052      -0.0050       0.0073      -0.0088
Period (days)        6.887050     0.000027     0.000027    -0.000030     0.000051    -0.000060     0.000079    -0.000084
b                    0.541        0.023        0.021       -0.027        0.044       -0.050        0.064       -0.080
Rp/R*                0.00809      0.00013      0.00012     -0.00013      0.00026     -0.00027      0.00034     -0.00043
K (m/s)              1.90         0.81         0.71        -1.04         1.67        -1.62         2.76        -2.60
Mp (Mearth)          7.3          3.2          2.8         -3.9          5.9         -7.3         10.7        -10.3
Rp (Rearth)          1.316        0.037        0.031       -0.045        0.074       -0.074        0.112       -0.112
i (deg)             87.04         0.15         0.15        -0.16         0.31        -0.32         0.47        -0.50
a/R*                10.359        0.053        0.048       -0.062        0.103       -0.131        0.167       -0.202
a (AU)               0.0727       0.0014       0.0014      -0.0015       0.0027      -0.0030       0.0041      -0.0045
